2022-09-03_14:37:35 MEM FREE: 41,6319 MEM TOTAL: 3836
2022-09-03_14:37:38 MEM FREE: 41,0063 MEM TOTAL: 3836
2022-09-03_14:37:41 MEM FREE: 40,3806 MEM TOTAL: 3836
2022-09-03_14:37:44 MEM FREE: 39,781 MEM TOTAL: 3836
2022-09-03_14:37:47 MEM FREE: 39,1554 MEM TOTAL: 3836
2022-09-03_14:37:50 MEM FREE: 38,5558 MEM TOTAL: 3836
2022-09-03_14:37:53 MEM FREE: 37,9562 MEM TOTAL: 3836
2022-09-03_14:37:56 MEM FREE: 37,3306 MEM TOTAL: 3836
2022-09-03_14:37:59 MEM FREE: 36,7049 MEM TOTAL: 3836
2022-09-03_14:38:02 MEM FREE: 36,0792 MEM TOTAL: 3836
2022-09-03_14:38:05 MEM FREE: 35,4536 MEM TOTAL: 3836
2022-09-03_14:38:09 MEM FREE: 34,8801 MEM TOTAL: 3836
2022-09-03_14:38:12 MEM FREE: 34,3326 MEM TOTAL: 3836
2022-09-03_14:38:15 MEM FREE: 33,707 MEM TOTAL: 3836
2022-09-03_14:38:18 MEM FREE: 33,1074 MEM TOTAL: 3836
2022-09-03_14:38:21 MEM FREE: 32,4818 MEM TOTAL: 3836
2022-09-03_14:38:24 MEM FREE: 31,8561 MEM TOTAL: 3836
2022-09-03_14:38:27 MEM FREE: 31,3087 MEM TOTAL: 3836
2022-09-03_14:38:30 MEM FREE: 30,6569 MEM TOTAL: 3836
2022-09-03_14:38:33 MEM FREE: 30,1356 MEM TOTAL: 3836
2022-09-03_14:38:36 MEM FREE: 29,4838 MEM TOTAL: 3836
2022-09-03_14:38:39 MEM FREE: 28,9103 MEM TOTAL: 3836
2022-09-03_14:38:42 MEM FREE: 28,3368 MEM TOTAL: 3836
2022-09-03_14:38:45 MEM FREE: 27,7112 MEM TOTAL: 3836
2022-09-03_14:38:48 MEM FREE: 27,1116 MEM TOTAL: 3836
2022-09-03_14:38:51 MEM FREE: 26,512 MEM TOTAL: 3836
2022-09-03_14:38:54 MEM FREE: 25,9124 MEM TOTAL: 3836
2022-09-03_14:38:57 MEM FREE: 25,3389 MEM TOTAL: 3836
